mp,temperature,humidity,soil,light,date,time
n1,33.10,33.80,2501,1255.83,2022-09-14,16:37:11
n1,32.80,35.30,2501,1344.17,2022-09-14,16:37:16
n1,32.50,35.10,2503,1365.00,2022-09-14,16:37:22
n1,32.60,35.80,2499,1481.67,2022-09-14,16:37:28
n1,32.50,35.90,2502,1499.17,2022-09-14,16:37:33
n1,32.40,35.60,2503,1564.17,2022-09-14,16:37:41
n1,32.40,36.20,2505,1927.50,2022-09-14,16:37:46
n1,32.30,35.80,2501,2535.00,2022-09-14,16:37:51
n1,32.30,36.30,2503,1909.17,2022-09-14,16:37:57
n1,32.20,36.40,2502,1943.33,2022-09-14,16:38:03
n1,32.30,37.10,2501,2012.50,2022-09-14,16:38:08
n1,32.20,36.70,2502,2326.67,2022-09-14,16:38:13
n1,32.10,36.70,2501,2739.17,2022-09-14,16:38:20
n1,32.00,37.10,2499,2331.67,2022-09-14,16:38:25
n1,32.00,37.20,2500,2280.83,2022-09-14,16:38:30
n1,31.90,37.60,2501,2338.33,2022-09-14,16:38:36
n1,31.90,37.70,2499,2423.33,2022-09-14,16:38:41
n1,31.80,37.70,2498,3029.17,2022-09-14,16:38:46
n1,31.80,37.90,2501,2974.17,2022-09-14,16:38:51
n1,31.80,38.20,2497,3386.67,2022-09-14,16:38:57
n1,31.80,38.30,2502,3667.50,2022-09-14,16:39:03
n1,31.80,38.50,2498,3155.83,2022-09-14,16:39:09
n1,31.80,39.30,2500,3785.83,2022-09-14,16:39:16
n1,31.80,39.10,2499,3345.00,2022-09-14,16:39:22
n1,31.70,39.10,2498,3110.83,2022-09-14,16:39:28
n1,31.70,39.00,2498,2857.50,2022-09-14,16:39:34
n1,31.60,39.30,2499,2791.67,2022-09-14,16:39:40
n1,31.60,39.70,2489,2634.17,2022-09-14,16:39:45
n1,31.60,39.90,2499,2536.67,2022-09-14,16:39:50
n1,31.50,40.10,2497,2444.17,2022-09-14,16:39:56
n1,31.50,39.10,2496,2368.33,2022-09-14,16:40:02
n1,31.40,38.80,2487,2337.50,2022-09-14,16:40:07
n1,31.40,38.80,2495,2353.33,2022-09-14,16:40:13
n1,31.40,38.70,2499,2316.67,2022-09-14,16:40:18
n1,31.40,39.30,2487,2218.33,2022-09-14,16:40:23
n1,31.40,39.30,2497,2210.83,2022-09-14,16:40:29
n1,31.30,39.50,2496,2254.17,2022-09-14,16:40:34
n1,31.40,40.00,2498,2065.00,2022-09-14,16:40:42
