Parents,Has_nurs,Form,Children,Housing,Finance,Social,Health,Class
usual,proper,complete,one,convenient,convenient,nonprob,recommended,recommend
usual,proper,complete,one,convenient,convenient,nonprob,priority,priority
usual,proper,complete,one,convenient,convenient,nonprob,not_recom,not_recom
usual,proper,complete,one,convenient,convenient,slightly_prob,recommended,recommend
usual,proper,complete,one,convenient,convenient,slightly_prob,priority,priority
usual,proper,complete,one,convenient,convenient,slightly_prob,not_recom,not_recom
usual,proper,complete,one,convenient,convenient,problematic,recommended,priority
usual,proper,complete,one,convenient,convenient,problematic,priority,priority
usual,proper,complete,one,convenient,convenient,problematic,not_recom,not_recom
usual,proper,complete,one,convenient,inconv,nonprob,recommended,very_recom
usual,proper,complete,one,convenient,inconv,nonprob,priority,priority
usual,proper,complete,one,convenient,inconv,nonprob,not_recom,not_recom
usual,proper,complete,one,convenient,inconv,slightly_prob,recommended,very_recom
usual,proper,complete,one,convenient,inconv,slightly_prob,priority,priority
usual,proper,complete,one,convenient,inconv,slightly_prob,not_recom,not_recom
usual,proper,complete,one,convenient,inconv,problematic,recommended,priority
usual,proper,complete,one,convenient,inconv,problematic,priority,priority
usual,proper,complete,one,convenient,inconv,problematic,not_recom,not_recom
usual,proper,complete,one,less_conv,convenient,nonprob,recommended,very_recom
usual,proper,complete,one,less_conv,convenient,nonprob,priority,priority
usual,proper,complete,one,less_conv,convenient,nonprob,not_recom,not_recom
usual,proper,complete,one,less_conv,convenient,slightly_prob,recommended,very_recom
usual,proper,complete,one,less_conv,convenient,slightly_prob,priority,priority
usual,proper,complete,one,less_conv,convenient,slightly_prob,not_recom,not_recom
usual,proper,complete,one,less_conv,convenient,problematic,recommended,priority
usual,proper,complete,one,less_conv,convenient,problematic,priority,priority
usual,proper,complete,one,less_conv,convenient,problematic,not_recom,not_recom
usual,proper,complete,one,less_conv,inconv,nonprob,recommended,very_recom
usual,proper,complete,one,less_conv,inconv,nonprob,priority,priority
usual,proper,complete,one,less_conv,inconv,nonprob,not_recom,not_recom
usual,proper,complete,one,less_conv,inconv,slightly_prob,recommended,very_recom
